空气质量指数
"55
                                       "
"72
                                       "
"30
                                       "
"37
                                       "
"28
                                       "
"61
                                       "
"27
                                       "
"28
                                       "
"34
                                       "
"25
                                       "
"49
                                       "
"97
                                       "
"142
                                       "
"82
                                       "
"99
                                       "
"30
                                       "
"50
                                       "
"55
                                       "
"46
                                       "
"71
                                       "
"103
                                       "
"112
                                       "
"115
                                       "
"137
                                       "
"175
                                       "
"110
                                       "
"54
                                       "
"44
                                       "
"47
                                       "
"68
                                       "
"87
                                       "
"48
                                       "
"36
                                       "
"47
                                       "
"54
                                       "
"65
                                       "
"81
                                       "
"46
                                       "
"43
                                       "
"84
                                       "
"99
                                       "
"204
                                       "
"249
                                       "
"255
                                       "
"141
                                       "
"33
                                       "
"32
                                       "
"22
                                       "
"35
                                       "
"64
                                       "
"70
                                       "
"119
                                       "
"55
                                       "
"47
                                       "
"60
                                       "
"103
                                       "
"170
                                       "
"162
                                       "
"129
                                       "
"31
                                       "
"79
                                       "
"147
                                       "
"198
                                       "
"156
                                       "
"48
                                       "
"77
                                       "
"115
                                       "
"184
                                       "
"232
                                       "
"163
                                       "
"135
                                       "
"134
                                       "
"172
                                       "
"363
                                       "
"114
                                       "
"185
                                       "
"97
                                       "
"97
                                       "
"83
                                       "
"32
                                       "
"128
                                       "
"87
                                       "
"106
                                       "
"88
                                       "
"178
                                       "
"178
                                       "
"289
                                       "
"87
                                       "
"141
                                       "
"115
                                       "
"113
                                       "
"59
                                       "
"37
                                       "
"32
                                       "
"60
                                       "
"55
                                       "
"66
                                       "
"64
                                       "
"64
                                       "
"89
                                       "
"83
                                       "
"74
                                       "
"30
                                       "
"66
                                       "
"171
                                       "
"111
                                       "
"34
                                       "
"64
                                       "
"90
                                       "
"87
                                       "
"64
                                       "
"47
                                       "
"46
                                       "
"41
                                       "
"56
                                       "
"57
                                       "
"80
                                       "
"57
                                       "
"56
                                       "
"32
                                       "
"29
                                       "
"41
                                       "
"65
                                       "
"54
                                       "
"74
                                       "
"200
                                       "
"142
                                       "
"95
                                       "
"52
                                       "
"52
                                       "
"50
                                       "
"47
                                       "
"61
                                       "
"64
                                       "
"35
                                       "
"26
                                       "
"43
                                       "
"57
                                       "
"72
                                       "
"63
                                       "
"71
                                       "
"76
                                       "
"135
                                       "
"53
                                       "
"67
                                       "
"52
                                       "
"39
                                       "
"28
                                       "
"39
                                       "
"45
                                       "
"42
                                       "
"37
                                       "
"45
                                       "
"27
                                       "
"34
                                       "
"30
                                       "
"44
                                       "
"49
                                       "
"61
                                       "
"51
                                       "
"32
                                       "
"51
                                       "
"88
                                       "
"81
                                       "
"33
                                       "
"52
                                       "
"33
                                       "
"28
                                       "
"29
                                       "
"36
                                       "
"38
                                       "
"63
                                       "
"53
                                       "
"38
                                       "
"43
                                       "
"49
                                       "
"40
                                       "
"57
                                       "
"62
                                       "
"43
                                       "
"34
                                       "
"34
                                       "
"37
                                       "
"37
                                       "
"33
                                       "
"35
                                       "
"38
                                       "
"49
                                       "
"38
                                       "
"51
                                       "
"62
                                       "
"49
                                       "
"16
                                       "
"21
                                       "
"37
                                       "
"45
                                       "
"34
                                       "
"23
                                       "
"26
                                       "
"29
                                       "
"36
                                       "
"32
                                       "
"25
                                       "
"33
                                       "
"50
                                       "
"54
                                       "
"54
                                       "
"24
                                       "
"20
                                       "
"20
                                       "
"19
                                       "
"43
                                       "
"23
                                       "
"24
                                       "
"39
                                       "
"49
                                       "
"43
                                       "
"40
                                       "
"68
                                       "
"64
                                       "
"40
                                       "
"35
                                       "
"52
                                       "
"48
                                       "
"42
                                       "
"36
                                       "
"34
                                       "
"35
                                       "
"27
                                       "
"33
                                       "
"29
                                       "
"26
                                       "
"31
                                       "
"58
                                       "
"49
                                       "
"24
                                       "
"19
                                       "
"19
                                       "
"24
                                       "
"26
                                       "
"37
                                       "
"50
                                       "
"42
                                       "
"40
                                       "
"45
                                       "
"53
                                       "
"35
                                       "
"25
                                       "
"19
                                       "
"28
                                       "
"38
                                       "
"47
                                       "
"53
                                       "
"65
                                       "
"50
                                       "
"35
                                       "
"37
                                       "
"44
                                       "
"31
                                       "
"27
                                       "
"42
                                       "
"31
                                       "
"21
                                       "
"20
                                       "
"29
                                       "
"47
                                       "
"24
                                       "
"26
                                       "
"21
                                       "
"27
                                       "
"47
                                       "
"43
                                       "
"54
                                       "
"29
                                       "
"55
                                       "
"50
                                       "
"18
                                       "
"13
                                       "
"11
                                       "
"17
                                       "
"27
                                       "
"34
                                       "
"23
                                       "
"27
                                       "
"33
                                       "
"48
                                       "
"40
                                       "
"27
                                       "
"22
                                       "
"38
                                       "
"58
                                       "
"24
                                       "
"44
                                       "
"35
                                       "
"30
                                       "
"54
                                       "
"91
                                       "
"153
                                       "
"87
                                       "
"31
                                       "
"46
                                       "
"94
                                       "
"126
                                       "
"52
                                       "
